date,username,tweet,language,hashtags,cashtags,nlikes,nreplies,nretweets
2022-04-24 05:22:26,ibrahim_klc11," https://t.co/U57AcGaLEE #NFT #NFTs #NFTCommmunity #NFTGiveaway #nftcollector #NFTdrop #NFTcollections #NFTartist #NFTart #NFTphotographers #nftphotographer #NFTphotograph  A house looking astonished in the Balat district, one of the historical districts of Istanbul.  0.07 ETH  https://t.co/7pd9ONioi3",en,"['nft', 'nfts', 'nftcommmunity', 'nftgiveaway', 'nftcollector', 'nftdrop', 'nftcollections', 'nftartist', 'nftart', 'nftphotographers', 'nftphotographer', 'nftphotograph']",[],5,0,0
2022-04-24 05:22:24,NicCartes88,"👉I just joined the whitelist for #BlueZillApeClub!  🔥Go and enter for a chance to join the exclusive, #NFT group for #BlueZIlla loaded with top-shelf membership perks!  TG:  https://t.co/BbOCGQWMLH  #NFTs #NFTCollector #nftcommunity  https://t.co/jFTN8aDuUm",en,"['bluezillapeclub', 'nft', 'bluezilla', 'nfts', 'nftcollector', 'nftcommunity']",[],7,0,0
2022-04-24 05:22:23,artynftdrop,Who wants to buy? Price of the Hangover Drop is only 0.006 #ETH.  #NFTCommunity #NFTs #NFTGiveaway #NFT #nftcollector #NFTProject  Check out this item on OpenSea  https://t.co/LoLeDwaC1q @opensea,en,"['eth', 'nftcommunity', 'nfts', 'nftgiveaway', 'nft', 'nftcollector', 'nftproject']",[],8,2,0
2022-04-24 05:22:16,basedfishmafia,"Michael is coping hard after losing gas on a sold-out mint 😩  Don't be like Michael, make sure you're holding at least one @BasedFishMafia to #mint the animated #NFT episode this summer.  🚀 15 minutes of high-quality animation &amp; NFT humor for the history books!  #NFTs #Ethereum  https://t.co/cvsjavUTpU",en,"['mint', 'nft', 'nfts', 'ethereum']",[],15,3,4
2022-04-24 05:22:10,DoanTu8,Poro NFT zoro onepiece anime price 0.68 #ETH 1 like 1 winner✓ #NFT #NFTs #NFTCommunity  https://t.co/64Q9ghOGWS,en,"['eth', 'nft', 'nfts', 'nftcommunity']",[],7,0,0
2022-04-24 05:22:10,ArifAfriyonni,Check out my NFT listing on OpenSea!  https://t.co/FMIRxBbv8I lewat @opensea  #NFT  #NFTs  #NFTGiveaways  #NFTGiveaway  #NFTdrop  #NFTshill  #NFTcollections  #nftart  https://t.co/dTgJGvMnjH,en,"['nft', 'nfts', 'nftgiveaways', 'nftgiveaway', 'nftdrop', 'nftshill', 'nftcollections', 'nftart']",[],4,2,0
2022-04-24 05:22:09,ibrahim_klc11, https://t.co/pr2nf8iG9w #NFT #NFTs #NFTCommmunity #NFTGiveaway #nftcollector #NFTdrop #NFTcollections #NFTartist #NFTart #NFTphotographers #nftphotographer #NFTphotograph  This insect called the praying mantis makes hand gestures just like a human.  0.07 ETH  https://t.co/vHJQ5ShjnA,en,"['nft', 'nfts', 'nftcommmunity', 'nftgiveaway', 'nftcollector', 'nftdrop', 'nftcollections', 'nftartist', 'nftart', 'nftphotographers', 'nftphotographer', 'nftphotograph']",[],4,0,0
2022-04-24 05:22:00,artynftdrop,Who wants to buy? Price of the Hangover Drop is only 0.006 #ETH.  #NFTCommunity #NFTs #NFTGiveaway #NFT #nftcollector #NFTProject  Check out this item on OpenSea  https://t.co/NUbYLQnuyv @opensea,en,"['eth', 'nftcommunity', 'nfts', 'nftgiveaway', 'nft', 'nftcollector', 'nftproject']",[],9,2,0
2022-04-24 05:21:57,CryptoonNetwork,"Moon Bears NFT have landed on @opensea !! The floor price is rising people, get in early 💎🚀🌕   https://t.co/mIMzMColrn  #MoonBearsNFT #CryptoonNetwork #NFT #NFTDrop #NFTShill #OpenSea #NFTCommunity #nftart #nftartist #nfts #WeBurnShib $Shib #NFTProject #nftopensea  https://t.co/QBl21MKPQ3",en,"['moonbearsnft', 'cryptoonnetwork', 'nft', 'nftdrop', 'nftshill', 'opensea', 'nftcommunity', 'nftart', 'nftartist', 'nfts', 'weburnshib', 'nftproject', 'nftopensea']",['shib'],21,2,8
2022-04-24 05:21:55,PolygonSkulls,🔆 “Do not take life too seriously. You will never get out of it alive.” — Elbert Hubbard  💀 Check out this SKULL 👇 on @opensea  https://t.co/sZosSyVvVF #NFT #NFTs #nftcommunity #nftcollector #NFTCollection,en,"['nft', 'nfts', 'nftcommunity', 'nftcollector', 'nftcollection']",[],10,1,0
2022-04-24 05:21:53,ibrahim_klc11, https://t.co/aoHCxjWpvj #NFT #NFTs #NFTCommmunity #NFTGiveaway #nftcollector #NFTdrop #NFTcollections #NFTartist #NFTart #NFTphotographers #nftphotographer #NFTphotograph  The veteran uncle who brings the smelly hands to the cheeks and poses for the Oscar..  0.07 ETH  https://t.co/jp75fJ5fEk,en,"['nft', 'nfts', 'nftcommmunity', 'nftgiveaway', 'nftcollector', 'nftdrop', 'nftcollections', 'nftartist', 'nftart', 'nftphotographers', 'nftphotographer', 'nftphotograph']",[],3,1,0
2022-04-24 05:21:52,alberto_cr2,woof woof $doggy #NFTbnb #NFTs #NFT    https://t.co/y27iwwyisj,en,"['nftbnb', 'nfts', 'nft']",['doggy'],4,1,0
